2024-12-02 18:31:17,400 - ModelTrainer - INFO - [Epoch 6] Average Loss: 0.8778, Accuracy: 69.89%
2024-12-02 18:31:30,417 - ModelTrainer - INFO - [Epoch 7] Average Loss: 0.8412, Accuracy: 71.56%
2024-12-02 18:31:43,370 - ModelTrainer - INFO - [Epoch 8] Average Loss: 0.7135, Accuracy: 75.55%
2024-12-02 18:31:56,303 - ModelTrainer - INFO - [Epoch 9] Average Loss: 0.6958, Accuracy: 76.21%
2024-12-02 18:32:09,131 - ModelTrainer - INFO - [Epoch 10] Average Loss: 0.7211, Accuracy: 75.49%
2024-12-02 18:32:22,071 - ModelTrainer - INFO - [Epoch 11] Average Loss: 0.6816, Accuracy: 76.52%
2024-12-02 18:32:34,946 - ModelTrainer - INFO - [Epoch 12] Average Loss: 0.6670, Accuracy: 77.35%
2024-12-02 18:32:47,788 - ModelTrainer - INFO - [Epoch 13] Average Loss: 0.6192, Accuracy: 78.60%
2024-12-02 18:33:00,415 - ModelTrainer - INFO - [Epoch 14] Average Loss: 0.5902, Accuracy: 79.82%
2024-12-02 18:33:12,858 - ModelTrainer - INFO - [Epoch 15] Average Loss: 0.6106, Accuracy: 79.15%
2024-12-02 18:33:25,251 - ModelTrainer - INFO - [Epoch 16] Average Loss: 0.5881, Accuracy: 79.72%
2024-12-02 18:33:38,160 - ModelTrainer - INFO - [Epoch 17] Average Loss: 0.5503, Accuracy: 81.05%
2024-12-02 18:33:50,538 - ModelTrainer - INFO - [Epoch 18] Average Loss: 0.5646, Accuracy: 80.60%
2024-12-02 18:34:02,937 - ModelTrainer - INFO - [Epoch 19] Average Loss: 0.6032, Accuracy: 79.27%
2024-12-02 18:34:15,837 - ModelTrainer - INFO - [Epoch 20] Average Loss: 0.5239, Accuracy: 81.74%
2024-12-02 18:34:28,870 - ModelTrainer - INFO - [Epoch 21] Average Loss: 0.4992, Accuracy: 82.83%
2024-12-02 18:34:41,890 - ModelTrainer - INFO - [Epoch 22] Average Loss: 0.4863, Accuracy: 83.04%
2024-12-02 18:34:54,889 - ModelTrainer - INFO - [Epoch 23] Average Loss: 0.4821, Accuracy: 83.22%
2024-12-02 18:35:07,891 - ModelTrainer - INFO - [Epoch 24] Average Loss: 0.4692, Accuracy: 83.75%
2024-12-02 18:35:20,869 - ModelTrainer - INFO - [Epoch 25] Average Loss: 0.4615, Accuracy: 83.85%
2024-12-02 18:35:21,698 - ModelTrainer - INFO - Model saved as 'object_recognition_model.pth'
2024-12-02 18:35:22,688 - ModelTrainer - INFO - Test Loss: 0.6862, Test Accuracy: 82.78%
2024-12-02 18:35:26,413 - DataLoader - INFO - Loading data...
2024-12-02 18:35:40,324 - ModelTrainer - INFO - [Epoch 1] Average Loss: 0.3736, Accuracy: 87.02%
2024-12-02 18:35:40,324 - ModelTrainer - INFO - [Epoch 1] Average Loss: 0.3736, Accuracy: 87.02%
2024-12-02 18:35:53,342 - ModelTrainer - INFO - [Epoch 2] Average Loss: 0.3401, Accuracy: 87.96%
2024-12-02 18:35:53,342 - ModelTrainer - INFO - [Epoch 2] Average Loss: 0.3401, Accuracy: 87.96%
2024-12-02 18:36:06,356 - ModelTrainer - INFO - [Epoch 3] Average Loss: 0.3251, Accuracy: 88.62%
2024-12-02 18:36:06,356 - ModelTrainer - INFO - [Epoch 3] Average Loss: 0.3251, Accuracy: 88.62%
2024-12-02 18:36:19,389 - ModelTrainer - INFO - [Epoch 4] Average Loss: 0.3157, Accuracy: 89.07%
2024-12-02 18:36:19,389 - ModelTrainer - INFO - [Epoch 4] Average Loss: 0.3157, Accuracy: 89.07%
2024-12-02 18:36:32,423 - ModelTrainer - INFO - [Epoch 5] Average Loss: 0.3114, Accuracy: 89.04%
2024-12-02 18:36:32,423 - ModelTrainer - INFO - [Epoch 5] Average Loss: 0.3114, Accuracy: 89.04%
2024-12-02 18:36:45,475 - ModelTrainer - INFO - [Epoch 6] Average Loss: 0.3027, Accuracy: 89.27%
2024-12-02 18:36:45,475 - ModelTrainer - INFO - [Epoch 6] Average Loss: 0.3027, Accuracy: 89.27%
2024-12-02 18:36:58,490 - ModelTrainer - INFO - [Epoch 7] Average Loss: 0.2999, Accuracy: 89.36%
2024-12-02 18:36:58,490 - ModelTrainer - INFO - [Epoch 7] Average Loss: 0.2999, Accuracy: 89.36%
2024-12-02 18:37:11,509 - ModelTrainer - INFO - [Epoch 8] Average Loss: 0.2937, Accuracy: 89.68%
2024-12-02 18:37:11,509 - ModelTrainer - INFO - [Epoch 8] Average Loss: 0.2937, Accuracy: 89.68%
2024-12-02 18:37:24,523 - ModelTrainer - INFO - [Epoch 9] Average Loss: 0.2838, Accuracy: 90.01%
2024-12-02 18:37:24,523 - ModelTrainer - INFO - [Epoch 9] Average Loss: 0.2838, Accuracy: 90.01%
2024-12-02 18:37:37,542 - ModelTrainer - INFO - [Epoch 10] Average Loss: 0.2840, Accuracy: 90.02%
2024-12-02 18:37:37,542 - ModelTrainer - INFO - [Epoch 10] Average Loss: 0.2840, Accuracy: 90.02%
2024-12-02 18:37:50,544 - ModelTrainer - INFO - [Epoch 11] Average Loss: 0.2795, Accuracy: 90.16%
2024-12-02 18:37:50,544 - ModelTrainer - INFO - [Epoch 11] Average Loss: 0.2795, Accuracy: 90.16%
2024-12-02 18:38:03,507 - ModelTrainer - INFO - [Epoch 12] Average Loss: 0.2732, Accuracy: 90.35%
2024-12-02 18:38:03,507 - ModelTrainer - INFO - [Epoch 12] Average Loss: 0.2732, Accuracy: 90.35%
2024-12-02 18:38:04,336 - ModelTrainer - INFO - Model saved as 'object_recognition_model.pth'
2024-12-02 18:38:04,336 - ModelTrainer - INFO - Model saved as 'object_recognition_model.pth'
2024-12-02 18:38:05,329 - ModelTrainer - INFO - Test Loss: 0.3786, Test Accuracy: 87.68%
2024-12-02 18:38:05,329 - ModelTrainer - INFO - Test Loss: 0.3786, Test Accuracy: 87.68%
2024-12-02 18:38:52,491 - DataLoader - INFO - Loading data...
2024-12-02 18:39:06,278 - ModelTrainer - INFO - [Epoch 1] Average Loss: 0.2635, Accuracy: 90.72%
2024-12-02 18:39:06,278 - ModelTrainer - INFO - [Epoch 1] Average Loss: 0.2635, Accuracy: 90.72%
2024-12-02 18:39:06,278 - ModelTrainer - INFO - [Epoch 1] Average Loss: 0.2635, Accuracy: 90.72%
2024-12-02 18:39:19,225 - ModelTrainer - INFO - [Epoch 2] Average Loss: 0.2622, Accuracy: 90.80%
2024-12-02 18:39:19,225 - ModelTrainer - INFO - [Epoch 2] Average Loss: 0.2622, Accuracy: 90.80%
2024-12-02 18:39:19,225 - ModelTrainer - INFO - [Epoch 2] Average Loss: 0.2622, Accuracy: 90.80%
2024-12-02 18:39:32,229 - ModelTrainer - INFO - [Epoch 3] Average Loss: 0.2641, Accuracy: 90.58%
2024-12-02 18:39:32,229 - ModelTrainer - INFO - [Epoch 3] Average Loss: 0.2641, Accuracy: 90.58%
2024-12-02 18:39:32,229 - ModelTrainer - INFO - [Epoch 3] Average Loss: 0.2641, Accuracy: 90.58%
2024-12-02 18:39:45,227 - ModelTrainer - INFO - [Epoch 4] Average Loss: 0.2585, Accuracy: 90.83%
2024-12-02 18:39:45,227 - ModelTrainer - INFO - [Epoch 4] Average Loss: 0.2585, Accuracy: 90.83%
2024-12-02 18:39:45,227 - ModelTrainer - INFO - [Epoch 4] Average Loss: 0.2585, Accuracy: 90.83%
2024-12-02 18:39:58,192 - ModelTrainer - INFO - [Epoch 5] Average Loss: 0.2639, Accuracy: 90.85%
2024-12-02 18:39:58,192 - ModelTrainer - INFO - [Epoch 5] Average Loss: 0.2639, Accuracy: 90.85%
2024-12-02 18:39:58,192 - ModelTrainer - INFO - [Epoch 5] Average Loss: 0.2639, Accuracy: 90.85%
2024-12-02 18:40:11,120 - ModelTrainer - INFO - [Epoch 6] Average Loss: 0.2547, Accuracy: 90.98%
2024-12-02 18:40:11,120 - ModelTrainer - INFO - [Epoch 6] Average Loss: 0.2547, Accuracy: 90.98%
2024-12-02 18:40:11,120 - ModelTrainer - INFO - [Epoch 6] Average Loss: 0.2547, Accuracy: 90.98%
2024-12-02 18:40:11,949 - ModelTrainer - INFO - Model saved as 'object_recognition_model.pth'
2024-12-02 18:40:11,949 - ModelTrainer - INFO - Model saved as 'object_recognition_model.pth'
2024-12-02 18:40:11,949 - ModelTrainer - INFO - Model saved as 'object_recognition_model.pth'
2024-12-02 18:40:12,921 - ModelTrainer - INFO - Test Loss: 0.3679, Test Accuracy: 87.92%
2024-12-02 18:40:12,921 - ModelTrainer - INFO - Test Loss: 0.3679, Test Accuracy: 87.92%
2024-12-02 18:40:12,921 - ModelTrainer - INFO - Test Loss: 0.3679, Test Accuracy: 87.92%
2024-12-03 11:30:49,326 - DataLoader - INFO - Loading data...
2024-12-03 11:31:17,897 - ModelTrainer - INFO - [Epoch 1] Average Loss: 1.3121, Accuracy: 54.87%
2024-12-03 11:31:30,902 - ModelTrainer - INFO - [Epoch 2] Average Loss: 1.1147, Accuracy: 61.78%
2024-12-03 11:31:43,933 - ModelTrainer - INFO - [Epoch 3] Average Loss: 0.9409, Accuracy: 67.82%
2024-12-03 11:31:56,968 - ModelTrainer - INFO - [Epoch 4] Average Loss: 0.9876, Accuracy: 66.17%
2024-12-03 11:32:10,004 - ModelTrainer - INFO - [Epoch 5] Average Loss: 0.8319, Accuracy: 71.48%
2024-12-03 11:32:23,035 - ModelTrainer - INFO - [Epoch 6] Average Loss: 0.8524, Accuracy: 70.76%
2024-12-03 11:32:36,052 - ModelTrainer - INFO - [Epoch 7] Average Loss: 0.7328, Accuracy: 74.96%
2024-12-03 11:32:49,086 - ModelTrainer - INFO - [Epoch 8] Average Loss: 0.7580, Accuracy: 74.03%
2024-12-03 11:33:02,119 - ModelTrainer - INFO - [Epoch 9] Average Loss: 0.6746, Accuracy: 76.82%
2024-12-03 11:33:15,115 - ModelTrainer - INFO - [Epoch 10] Average Loss: 0.6676, Accuracy: 77.04%
2024-12-03 11:33:28,151 - ModelTrainer - INFO - [Epoch 11] Average Loss: 0.6477, Accuracy: 77.75%
2024-12-03 11:33:41,189 - ModelTrainer - INFO - [Epoch 12] Average Loss: 0.6090, Accuracy: 79.01%
2024-12-03 11:33:54,221 - ModelTrainer - INFO - [Epoch 13] Average Loss: 0.5864, Accuracy: 79.61%
2024-12-03 11:34:07,257 - ModelTrainer - INFO - [Epoch 14] Average Loss: 0.5808, Accuracy: 80.00%
2024-12-03 11:34:20,299 - ModelTrainer - INFO - [Epoch 15] Average Loss: 0.5668, Accuracy: 80.54%
2024-12-03 11:34:33,306 - ModelTrainer - INFO - [Epoch 16] Average Loss: 0.5516, Accuracy: 81.08%
2024-12-03 11:34:46,323 - ModelTrainer - INFO - [Epoch 17] Average Loss: 0.5297, Accuracy: 81.69%
2024-12-03 11:34:59,490 - ModelTrainer - INFO - [Epoch 18] Average Loss: 0.5206, Accuracy: 82.13%
2024-12-03 11:35:12,961 - ModelTrainer - INFO - [Epoch 19] Average Loss: 0.5721, Accuracy: 80.26%
2024-12-03 11:35:26,094 - ModelTrainer - INFO - [Epoch 20] Average Loss: 0.5117, Accuracy: 82.63%
2024-12-03 11:35:39,482 - ModelTrainer - INFO - [Epoch 21] Average Loss: 0.5411, Accuracy: 81.33%
